booking_id,room_id,booking_date,duration_hours,attendees,purpose
BK001,R101,2026-07-06,1,14,Class
BK002,R302,2026-07-07,1.5,34,Meeting
BK003,R503,2026-07-08,2,62,Training
BK004,R301,2026-07-09,2.5,50,Seminar
BK005,R502,2026-07-10,3,35,Workshop
BK006,R203,2026-07-11,4,36,Class
BK007,R501,2026-07-12,1,57,Meeting
BK008,R202,2026-07-13,1.5,50,Training
BK009,R403,2026-07-14,2,38,Seminar
BK010,R201,2026-07-15,2.5,31,Workshop
BK011,R402,2026-07-16,3,59,Class
BK012,R103,2026-07-17,4,51,Meeting
BK013,R401,2026-07-06,1,35,Training
BK014,R102,2026-07-07,1.5,32,Seminar
BK015,R303,2026-07-08,2,61,Workshop
BK016,R101,2026-07-09,2.5,16,Class
BK017,R302,2026-07-10,3,37,Meeting
BK018,R503,2026-07-11,4,66,Training
BK019,R301,2026-07-12,1,52,Seminar
BK020,R502,2026-07-13,1.5,38,Workshop
BK021,R203,2026-07-14,2,39,Class
BK022,R501,2026-07-15,2.5,60,Meeting
BK023,R202,2026-07-16,3,53,Training
BK024,R403,2026-07-17,4,41,Seminar
BK025,R201,2026-07-06,1,33,Workshop
BK026,R402,2026-07-07,1.5,62,Class
BK027,R103,2026-07-08,2,21,Meeting
BK028,R401,2026-07-09,2.5,38,Training
BK029,R102,2026-07-10,3,34,Seminar
BK030,R303,2026-07-11,4,64,Workshop
BK031,R101,2026-07-12,1,18,Class
BK032,R302,2026-07-13,1.5,40,Meeting
BK033,R503,2026-07-14,2,70,Training
BK034,R301,2026-07-15,2.5,55,Seminar
BK035,R502,2026-07-16,3,42,Workshop
BK036,R203,2026-07-17,4,42,Class
BK037,R501,2026-07-06,1,63,Meeting
BK038,R202,2026-07-07,1.5,22,Training
BK039,R403,2026-07-08,2,45,Seminar
BK040,R201,2026-07-09,2.5,35,Workshop
BK041,R402,2026-07-10,3,65,Class
BK042,R103,2026-07-11,4,23,Meeting
BK043,R401,2026-07-12,1,41,Training
BK044,R102,2026-07-13,1.5,36,Seminar
BK045,R303,2026-07-14,2,67,Workshop
BK046,R101,2026-07-15,2.5,19,Class
BK047,R302,2026-07-16,3,43,Meeting
BK048,R503,2026-07-17,4,74,Training
BK049,R301,2026-07-06,1,22,Seminar
BK050,R502,2026-07-07,1.5,45,Workshop
BK051,R203,2026-07-08,2,44,Class
BK052,R501,2026-07-09,2.5,67,Meeting
BK053,R202,2026-07-10,3,24,Training
BK054,R403,2026-07-11,4,48,Seminar
BK055,R201,2026-07-12,1,37,Workshop
BK056,R402,2026-07-13,1.5,68,Class
BK057,R103,2026-07-14,2,26,Meeting
BK058,R401,2026-07-15,2.5,44,Training
BK059,R102,2026-07-16,3,38,Seminar
BK060,R303,2026-07-17,4,27,Workshop
